COMMODITY,"DEFINITIONS, COVERAGE, REMARKS",Item,Item Code,subclass,subclass code,class,class code,type,lifespan
"KOLA NUTS
kola, cola, Sudan cola nut  (Cola nitida; C. vera; C. acuminata)","Produced mainly in Africa. Kola nuts, containing 2.4 to 2.6% caffeine,
are commonly chewed by the local population. Much used in Europe and
America in the production of beverages.",Kola nuts,224,,,"Treenuts, Total",1729.0,Perennial,
"HAZELNUTS (FILBERTS)
Corylus avellana",Produced mainly in Mediterranean countries and the United States.,"Hazelnuts, with shell",225,,,"Treenuts, Total",1729.0,Perennial,
"ARECA NUTS
areca, betel nut (Areca catechu)","Produced mainly in the Far East. Areca nuts are used mainly as
masticatory. These nuts contain alkaloids (arecoline and arecaidine).",Areca nuts,226,,,"Treenuts, Total",1729.0,Perennial,60.0
"Brazil Nuts, Shelled",Around 55% of the weight in shell.,,229,,,"Treenuts, Total",1729.0,Perennial,
"Cashew Nuts, Shelled",Around 25% of the weight in shell.,,230,,,"Treenuts, Total",1729.0,Perennial,50.0
"Almonds, Shelled",Around 55% of the weight in shell.,,231,,,"Treenuts, Total",1729.0,Perennial,
"Walnuts, Shelled",Around 53% of the weight in shell.,,232,,,"Treenuts, Total",1729.0,Perennial,250.0
"Hazelnuts, Shelled",Around 50% of the weight in shell.,,233,,,"Treenuts, Total",1729.0,Perennial,
"NUTS NES
Including inter alia: pecan nut (Carya illinoensis);
butter or swarri nut  (Caryocar nuciferum);
pili nut, Java almond, Chinese olives (Canarium spp.);
paradise or sapucaia nut (Lecythis zabucajo);
Queensland, macadamia nut (Macadamia ternifolia);
pignolia nut (Pinus pinea)","Other nuts that are not identified separately because of their minor
relevance at the international level. Because of their limited local
importance, some countries report nuts under this heading that are
classified individually by FAO.",Nuts nes,234,,,"Treenuts, Total",1729.0,Perennial,
Prepared Nuts,"Mainly roasted, whether or not containing vegetable oils, salt,
flavours, spices or other additives. Excludes prepared groundnuts,
except when mixed with other nuts.",,235,,,"Treenuts, Total",1729.0,Perennial,
"SOYBEANS
Glycine soja","The most important oil crop. Also widely consumed as a bean and in the
form of various derived products because of its high protein content,
e.g. soya milk, meat, etc.",Soybeans,236,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
"SOYBEANS
Glycine soja","The most important oil crop. Also widely consumed as a bean and in the
form of various derived products because of its high protein content,
e.g. soya milk, meat, etc.",Soybeans,236,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Oil of Soybeans,See Chapter 11.,,237,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Oil of Soybeans,Obtained by solvent extraction from the beans. Used mainly for food.,,237,,,fat,,Annual,
Cake of Soybeans,"Oilcake and other solid residues (except dregs), whether or not
ground, or in the form of pellets, resulting from the extraction of
fats or oils.",,238,,,fodder,,Annual,
Soya Sauce,"A fermented soya product from defatted soybeand and wheat or other
cereals that is filtered and pasteurized.",,239,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Soya Paste,"A fermented, salty condiment. Soya paste can be produced through brine
fermentation of low- moisture soya curd.",,240,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Soya Curd,"Obtained by precipitating proteins from soya milk and removing the
fluid. Can be fermented or non-fermented.",,241,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
"GROUNDNUTS IN SHELL
Arachis hypogaea","For trade data, groundnuts in shell are converted at 70% and reported
on a shelled basis.","Groundnuts, with shell",242,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
"Groundnuts, Shelled",Used as direct food and for extracting oil.,,243,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Oil of Groundnuts,See Chapter 11.,,244,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Oil of Groundnuts,Obtained by pressure or solvent extraction. Used mainly for food.,,244,,,fat,,Annual,
Cake of Groundnuts,Residue from oil extraction.,,245,,,fodder,,Annual,
Prepared Groundnuts,"Roasted, salted, flavoured, etc.",,246,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Peanut Butter,"Obtained by grinding roasted peanuts. In addition to fat, at 40-46%,
peanut butter contains all other components of the nuts.",,247,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
"COCONUTS
Cocos nucifera
Husked coconut","In shell, covered by the endocarp, while exocarp (the smooth outer
skin) and mesocarp (the fibrous covering) are removed. Immature nuts
contain a milky juice that is consumed as a refreshing drink. Mature
nuts are consumed as such, or processed for copra or desiccated
coconut. The flesh, from which copra/oil is extracted, constitutes
40-70% of the weight of the husked coconut. The oil content is about
36% of the flesh.",Coconuts,249,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,70.0
"Coconuts, Desiccated","Dried, shredded flesh of coconut processed for human consumption. It
retains most of the oil and proteins of the fresh nut and is mainly
used in confectionery and baking.",,250,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,70.0
Copra,The dried flesh of coconut from which the oil is extracted.,,251,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,70.0
Oil of Coconuts,"Obtained by pressure from copra and by solvent from the residues of
pressure extraction. Has both food and industrial uses.",,252,,,fat,,Perennial,70.0
Oil of Coconut,See Chapter 11.,,252,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,70.0
Cake of Copra,Residue from oil extraction.,,253,,,fodder,,Perennial,70.0
"[OIL PALM FRUIT]
Elaeis guineensis","The oil palm produces bunches containing a large number of fruits with
the fleshy mesocarp enclosing a kernel that is covered by a very hard
shell. FAO considers palm oil (coming from the pulp) and palm kernels
to be primary products. The oil extraction rate from a bunch varies
from 17 to 27% for palm oil, and from 4 to 10% for palm kernels.",Oil palm fruit,254,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,30.0
PALM KERNELS,"Seeds of the oil palm. Babassu kernels (Orbignya speciosa) are often
reported as palm kernels.",Palm kernels,256,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,30.0
OIL OF PALM,See Chapter 14.,"Oil, palm",257,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,30.0
OIL OF PALM,"Obtained from the mesocarp of the fruit of the oil palm by pressure,
and also by solvent from the residues of the pressure extraction.","Oil, palm",257,,,fat,,Perennial,30.0
Oil of Palm Kernel,"Obtained from the kernel of the nut of the fruits of the oil palm by
pressure in two or three stages at different temperatures. Including
oil of babassu kernels.",,258,,,fat,,Perennial,30.0
Cake of Palm Kernel,Residue from oil extraction.,,259,,,fodder,,Perennial,30.0
Cake of Palm Kernel,,,259,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,30.0
OLIVES Olea europaea,Includes table olives and olives for oil.,Olives,260,,,"Oilcrops, Oil Equivalent",1732.0,,
"Oil of Olives, Virgin",See Chapter 11.,,261,,,"Oilcrops, Oil Equivalent",1732.0,,
"Oil of Olives, Virgin","Obtained from olives by mechanical or other physical means. Olive oil
is the only vegetable oil that can be consumed without refining.",,261,,,fat,,,
KARITE NUTS (SHEANUTS) Butyrospermum parkii,"Production data refer only to the nut contained in the fruit although
        the pulp around the nut is also edible.",Karite nuts (sheanuts),263,,,"Oilcrops, Oil Equivalent",1732.0,,
Butter of Karite Nuts,,,264,,,"Oilcrops, Oil Equivalent",1732.0,,
Butter of Karite Nuts,"A very important vegetable oil in West Africa. Used as a substitute
for cocoa butter and in cosmetics.",,264,,,fat,,,
CASTOR BEANS Ricinus communis,"Valued mainly for their oil, which is used in pharmaceutical products.
        Ground seedcakes are used as fertilizers (castor oil pomace).",Castor oil seed,265,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Castor Beans,See Chapter 14.,,266,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Castor Beans,"Obtained by pressure or by solvent. Uses include mainly industrial
ones, in pharmaceuticals and cosmetics.",,266,,,fat,,,
SUNFLOWER SEED Helianthus annuus,"Valued mainly for its oil. Minor uses include as a human food and as
        feed for birds.",Sunflower seed,267,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Sunflower Seed,Obtained by pressure extraction. Mainly for food use.,,268,,,fat,,,
Oil of Sunflower Seed,See Chapter 11.,,268,,,"Oilcrops, Oil Equivalent",1732.0,,
Cake of Sunflower Seed,"Residue from oil extraction. The cake is used for feed if it is from
decorticated seeds, or for fertilizer if it comes from undecorticated
seeds.",,269,,,fodder,,,
RAPESEED Brassica napus var. oleifera,"Valued mainly for its oil. Older varieties are rich in Erucic acid,
        which is considered unhealthy.",Rapeseed,270,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Rapeseed Canola oil,See Chapter 11.,,271,,,"Oilcrops, Oil Equivalent",1732.0,,
"Oil of Rapeseed
Canola oil","Obtained by pressure extraction for food use. Oil recovered with
solvent from the residues of the pressure extraction is used for
industrial purposes. Canola oil is produced from new varieties of
rapeseed.",,271,,,fat,,,
Cake of Rapeseed,Residue from oil extraction.,,272,,,fodder,,,
Olive Residues,"Residues make up about 40% of the olives crushed for oil, but account
for about 5% of the oil.",,273,,,fodder,,,
Oil of Olive Residues,Oil extracted from olive residues with solvents.,,274,,,fat,,,
Oil of Olive Residues,,,274,,,"Oilcrops, Oil Equivalent",1732.0,,
TUNG NUTS Aleurites cordata; A. fordii,Valued mainly for their oil.,Tung nuts,275,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Tung Nuts,,,276,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Tung Nuts,"Obtained by pressure and used exclusively for industrial purposes. The
resulting cake contains a toxic protein and thus cannot be used for
feed.",,276,,,fat,,,
JOJOBA SEEDS Simmondsia californica (syn. S. chinensis),From the shrub or small tree of the Buxaceae family.,,277,,,"Oilcrops, Oil Equivalent",1732.0,,
Jojoba Oil,"Â©Â FAO 1994
Return to top",,278,,,"Oilcrops, Oil Equivalent",1732.0,,
Jojoba Oil,"Obtained by cold pressure. Its peculiar chemical properties make it
the only vegetable oil in nature having the same characteristics as
spermaceti. Below 15Ã¸C it solidifies and assumes the characteristics
of wax. It is used as a lubricant, in cosmetics and in
pharmaceuticals, and is considered a product with good growth
prospects.",,278,,,fat,,,
SAFFLOWER SEED Carthamus tinctorius,"Valued mainly for its oil. Minor uses include as a human food and as
        poultry feed.",Safflower seed,280,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Safflower Seed,See Chapter 11.,,281,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Safflower Seed,"Obtained either by pressure or by solvent. Has both food and
industrial uses.",,281,,,fat,,,
Cake of Safflower Seed,Residue from oil extraction.,,282,,,fodder,,,
SESAME SEED Sesamum indicum,"Valued for its oil, but also as a food, either raw or roasted, as well
        as in bakery products and other food preparations.",Sesame seed,289,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Sesame Seed,See Chapter 11.,,290,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Sesame Seed,"Obtained by pressure extraction in two or three stages at different
temperatures. Sometimes the oil is also extracted by solvent from the
residue of the pressure extraction. Used mainly for food.",,290,,,fat,,,
Cake of Sesame Seed,Residue from oil extraction.,,291,,,fodder,,,
MUSTARD SEED white mustard (Brassica alba; B. hirta; Sinapis alba); black mustard (Brassica nigra; Sinapis nigra),"In addition to the oil extracted from them, white mustard seeds, may
        be processed into flour for food use. Black mustard seeds also yield
        oil and are processed into flour that is used mainly in pharmaceutical
        products.",Mustard seed,292,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Mustard Seed,See Chapter 11.,,293,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Mustard Seed,"Obtained by dry pressure extraction. Has both food and industrial
uses.",,293,,,fat,,,
Cake of Mustard Seed,Residue from oil extraction.,,294,,,fodder,,,
Flour of Mustard Seed,"Includes flour, meal and prepared mustard.",,295,,,"Oilcrops, Oil Equivalent",1732.0,,
POPPY SEED Papaver somniferum,"The source of opium, poppy seeds are also used in baking and
        confectionery.",Poppy seed,296,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Poppy Seed,See Chapter 11.,,297,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Poppy Seed,Obtained by pressure extraction. Has both food and industrial uses.,,297,,,fat,,,
Cake of Poppy Seed,Residue from oil extraction.,,298,,,fodder,,,
MELONSEED Cucumis melo,Includes seeds of other Cucurbitaceae.,Melonseed,299,,,"Oilcrops, Oil Equivalent",1732.0,,
[TALLOWTREE SEEDS] Borneo tallow tree (Shorea aptera; S. stenocarpa); Chinese tallow tree (Sapium sebiferum; Stillingia sebifera),"Grown wild and cultivated. FAO considers vegetable tallow and
        stillingia oil to be primary products (see below).",Tallowtree seed,305,,,"Oilcrops, Oil Equivalent",1732.0,,
VEGETABLE TALLOW,"Obtained by pressure extraction or by solvent from the kernels of the
fruit of the Borneo tallow tree and from the outer coating that
surrounds the seeds of the fruit of the Chinese tallow tree. Used as a
substitute for cocoa butter. Also used in soap, candles, medicines and
cosmetics.",,306,,,fat,,,
VEGETABLE TALLOW,See Chapter 14.,,306,,,"Oilcrops, Oil Equivalent",1732.0,,
STILLINGIA OIL,"Obtained by solvent from the seeds of Stillingia sebifera. Used as a
drying agent in paints and varnishes.",,307,,,fat,,,
"[KAPOK FRUIT] Ceiba pentandra, Bombacaceae",The fruit of kapok contains fibre (see Chapter 14.,Kapok fruit,310,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,
Oil of Kapok,Obtained from shelled seeds by pressure. Used for food and soap.,,313,,,fat,,Perennial,
Cake of Kapok,See Chapter,,314,,,"Oilcrops, Oil Equivalent",1732.0,Perennial,
Cake of Kapok,Residue from oil extraction.,,314,,,fodder,,Perennial,
[SEED COTTON] Gossypium spp.: Unginned cotton,"Grown for both seed and for fibre. FAO considers cottonseed, cotton
        lint and linters to be primary products. Lint content ranges from 30
        to 40%, seed 55 to 65%, and linters 2 to 5% though they are not always
        separated.",Seed cotton,328,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
COTTONSEED,Used for extracting oil.,Cottonseed,329,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Oil of Cottonseed,See Chapter 11.,,331,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Oil of Cottonseed,"Obtained first by pressure extraction from the kernels of cotton
seeds. The residue from this process is then exposed to a solvent.
Used mainly as a food.",,331,,,fat,,Annual,
Cake of Cottonseed,Residue from oil extraction.,,332,,,fodder,,Annual,
LINSEED Linum usitatissimum Flaxseed,"An annual herbaceous that is cultivated for its fibre as well as its
        oil.",Linseed,333,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Linseed,Obtained by pressure extraction. Used mainly in non-food items.,,334,,,fat,,,
Oil of Linseed,See Chapter 11.,,334,,,"Oilcrops, Oil Equivalent",1732.0,,
Cake of Linseed,Residue from oil extraction.,,335,,,fodder,,,
HEMPSEED Cannabis sativa,"An annual herbaceous that is cultivated for its fibre as well as its
        oil. In major producing countries oil is extracted from the seeds.",Hempseed,336,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Hempseed,See Chapter 11.,,337,,,"Oilcrops, Oil Equivalent",1732.0,,
Oil of Hempseed,"Obtained either by pressure extraction or by solvent. Used mainly in
non-food items.",,337,,,fat,,,
Cake of Hempseed,Residue from oil extraction.,,338,,,fodder,,,
"OILSEEDS NES Includes inter alia: beech nut (Fagus sylvatica);(Aleurites 
        moluccana);(Carapa guineensis);(Croton tiglium);(Bassia 
        latifolia);(Guizotia abyssinica);(Licania rigida);(Perilla 
        frutescens);(Jatropha curcas);(Shorea robusta);(Pongamia 
        glabra);(Astrocaryum spp.)","Other oilseeds, oleaginous fruits and nuts that are not identified
        separately because of their minor relevance at the international
        level. Because of their limited local importance, some countries
        report commodities under this heading that are classified individually
        by FAO. Also included under this code are tea seeds, grape pips and
        tomato seeds from which oil is extracted.",Oilseeds nes,339,,,"Oilcrops, Oil Equivalent",1732.0,Annual,
Oil of Vegetable Origin nes,"Includes, inter alia, myrtle wax and Japan wax.",,340,,,fat,,,
Oil of Vegetable Origin nes,See Chapter 11.,,340,,,"Oilcrops, Oil Equivalent",1732.0,,
Cake of Oilseeds nes,Residue from oil extraction.,,341,,,fodder,,,
Flour of Oilseeds,"Flours and meals of oilseeds and oleaginous fruits (excluding
        mustard), non defatted or partially defatted.",,343,,,"Oilcrops, Oil Equivalent",1732.0,,
"CABBAGES
Chinese, mustard cabbage, pak-choi (Brassica chinensis);
white, red, savoy cabbage, Brussels sprouts, collards, kale and
kohlrabi (Brassica oleracea all var. except botrytis)",,Cabbages and other brassicas,358,,,Vegetables Primary,1735.0,Annual,
"ARTICHOKES
Cynara scolymus",,Artichokes,366,,,Vegetables Primary,1735.0,Perennial,
"ASPARAGUS
Asparagus officinalis",,Asparagus,367,,,Vegetables Primary,1735.0,Perennial,
"LETTUCE
Lactuca sativa;
witloof chicory (Cichorium intybus var. foliosum);
endive (C. endivia var. crispa);
escarole chicory (C. endivia var. latifolia)",,Lettuce and chicory,372,,,Vegetables Primary,1735.0,Annual,
"SPINACH
Spinacia oleracea","Trade figures may include New Zealand spinach (Tetragonia espansa) and
orache (garden) spinach (Atriplex hortensis).",Spinach,373,,,Vegetables Primary,1735.0,Annual,
"CASSAVA LEAVES
Manihot esculenta;  M. utilissima",Young cassava leaves are eaten in some areas of Africa as a vegetable.,,378,,,Vegetables Primary,1735.0,,
"TOMATOES, FRESH
Lycopersicon esculentum",,Tomatoes,388,,,Vegetables Primary,1735.0,Annual,
Juice of Tomatoes,"Juice is obtained by treating tomatoes with cold or hot water or with
steam. The juice then undergoes various processes, such as
clarification, homogenization, sterilization, etc.",,390,,,Vegetables Primary,1735.0,Annual,
Paste of Tomatoes,"Tomatoes prepared or preserved o/t by vinegar, in the form of paste,
purâ€še or concentrate. Includes juice of dry weight content of 7% or
more.",,391,,,Vegetables Primary,1735.0,Annual,
"Tomatoes, Peeled",Prepared or preserved o/t by vinegar; either whole or in pieces.,,392,,,Vegetables Primary,1735.0,Annual,
"CAULIFLOWER
Brassica oleracea var. botrytis,
subvariety cauliflora and cymosa",Includes headed broccoli.,Cauliflowers and broccoli,393,,,Vegetables Primary,1735.0,Annual,
"PUMPKINS, SQUASH, GOURDS
Cucurbita spp",Includes marrows.,"Pumpkins, squash and gourds",394,,,Vegetables Primary,1735.0,Annual,
"CUCUMBERS, GHERKINS
Cucumis sativus",,Cucumbers and gherkins,397,,,Vegetables Primary,1735.0,Annual,
"EGGPLANTS
Solanum melongena",Also called aubergines.,Eggplants (aubergines),399,,,Vegetables Primary,1735.0,,
"CHILLIES, PEPPERS (GREEN)
Capsicum annuum; C. fructescens;
Pimenta officinalis","Production data exclude crops cultivated explicitly as spices. In
contrast, trade data include these crops, provided they are fresh,
uncrushed and unground.","Chillies and peppers, green",401,,,Vegetables Primary,1735.0,Annual,
"ONIONS, SHALLOTS (GREEN)
shallots (Allium ascalonicum);
onions (A. cepa);
welsh onions (A. fistulosum)","Young onions pulled before the bulb has enlarged; used especially in
salads. Includes onion sets.","Onions, shallots, green",402,,,Vegetables Primary,1735.0,Annual,
"ONIONS, DRY
Allium cepa","Includes onions at a mature stage, but not dehydrated onions.","Onions, dry",403,,,Vegetables Primary,1735.0,Annual,
"GARLIC
Allium sativum",,Garlic,406,,,Vegetables Primary,1735.0,Annual,
"LEEKS AND OTHER ALLIACEOUS VEGETAB
leeks (Allium porrum);
chives (A. schoenoprasum);
other alliac. (Allium varieties except those of 0402, 0403 and 0406)",,"Leeks, other alliaceous vegetables",407,,,Vegetables Primary,1735.0,Annual,
"BEANS, GREEN
Phaseolus and Vigna spp.",For shelling.,"Beans, green",414,,,Vegetables Primary,1735.0,Annual,
"PEAS, GREEN
Pisum sativum","Mostly for shelling, but including edible- podded peas or sugar peas.","Peas, green",417,,,Vegetables Primary,1735.0,Annual,
"BROAD BEANS, GREEN
Vicia faba",For shelling.,"Vegetables, leguminous nes",420,,,Vegetables Primary,1735.0,,
"STRING BEANS
Phaseolus vulgaris; Vigna spp",Not for shelling,String beans,423,,,Vegetables Primary,1735.0,Annual,
"CARROTS
Daucus carota",Trade data may include turnips (Brassica rapa var. rapifera).,Carrots and turnips,426,,,Vegetables Primary,1735.0,Annual,
"OKRA
Abelmoschus esculentus; Hibiscus
esculentus",Also called gombo.,Okra,430,,,Vegetables Primary,1735.0,Annual,
"GREEN CORN (MAIZE)
Zea mays, particularly var. saccharata","Maize harvested green for food. Saccharata variety is commonly known
as sweet corn.","Maize, green",446,,,Vegetables Primary,1735.0,Annual,
"Sweet Corn, Frozen","Either uncooked, or cooked by steaming or boiling in water, and then
frozen.",,447,,,Vegetables Primary,1735.0,,
"Sweet Corn, Prepared or Preserved","Prepared or preserved other than by vinegar or acetic acid; not
frozen.",,448,,,Vegetables Primary,1735.0,,
"MUSHROOMS
Including inter alia:
Boletus edulis; Agaricus campestris;
Morchella spp. and Tuber magnatum",Cultivated or spontaneous. Includes truffles.,Mushrooms and truffles,449,,,Vegetables Primary,1735.0,,
Dried Mushrooms,"Mushrooms and truffles, whether dried, dehydrated, evaporated or
freeze-dried.",,450,,,Vegetables Primary,1735.0,,
Canned Mushrooms,"Mushrooms and truffles, prepared or preserved o/t by vinegar or acetic
acid; either whole, in pieces, or homogenized.",,451,,,Vegetables Primary,1735.0,,
"CHICORY ROOTS
horium intybus; C. sativum",Unroasted chicory roots.,Chicory roots,459,,,tobacco,,,
"VEGETABLE PRODUCTS, FRESH OR DRY NE","Fruit stones, kernels and other vegetable products used primarily for
human food that are not specified or included elsewhere.",,460,,,tobacco,,,
"CAROBS
(Ceratonia siliqua)
Carob-tree, locust bean","Includes also seeds. Mainly used as an animal feed and for industrial
purposes. Rich in pectin.",Carobs,461,,,tobacco,,Perennial,
"VEGETABLES, FRESH NES>
Including inter alia:
bamboo shoots (Bambusa spp.);
beets, chards (Beta vulgaris);
capers (Capparis spinosa);
cardoons (Cynara cardunculus);
celery (Apium graveolens);
chervil (Anthriscus cerefolium);
cress (Lepidium sativum);
fennel (Foeniculum vulgare);
horseradish (Cochlearia armoracia);
marjoram, sweet (Majorana hortensis);
oyster plant (Tragopogon porrifolius);
parsley (Petroselinum crispum);
parsnips (Pastinaca sativa);
radish (Raphanus sativus);
rhubarb (Rheum spp.);
rutabagas, swedes (Brassica napus);
savory (Satureja hortensis);
scorzonera (Scorzonera hispanica);
sorrel (Rumex acetosa);
soybean sprouts tarragon (Artemisia dracunculus);
watercress (Nasturtium officinale)","Other vegetables that are not identified separately because of their
minor relevance at the international level. Because of their limited
local importance, some countries report vegetables under this heading
that are classified individually by FAO.","Vegetables, fresh nes",463,,,Vegetables Primary,1735.0,Annual,
Juice of Vegetables nes,"Juice obtained by pressing, or by treatment with water or with steam,
then submitted to various processes. Vegetable juice may contain added
salt, spices or flavouring substances.",,466,,,Vegetables Primary,1735.0,Annual,
"Vegetables, Dehydrated","Vegetables that are dried, dehydrated, evaporated or freeze-dried.
Includes dried vegetables that are broken or powdered.",,469,,,Vegetables Primary,1735.0,,
Vegetables in Vinegar,"Vegetables, fruit, nuts and other edible parts of plants, prepared or
preserved with vinegar or acetic acid, with or without added sugar,
salt, spices, etc. Includes pickles.",,471,,,Vegetables Primary,1735.0,,
"Vegetables, Preserved nes","Vegetables prepared or preserved o/t by vinegar and which have not
been frozen.",,472,,,Vegetables Primary,1735.0,,
"Vegetables, Frozen","Vegetables, either uncooked, or cooked by steaming or boiling in
water, and then frozen.",,473,,,Vegetables Primary,1735.0,,
"Vegetables, Temporarily preserved","Vegetables preserved with SO2, brine, etc., but which are unsuitable
for consumption in that state.",,474,,,Vegetables Primary,1735.0,,
"Vegetables, Preserved (Frozen)","Vegetables that are prepared or preserved o/t by vinegar, and then
frozen.",,475,,,Vegetables Primary,1735.0,,
Homogenized Vegetable,"Preparations
Vegetables prepared for dietetic and infant food.",,476,,,Vegetables Primary,1735.0,,
"BANANAS
Musa sapientum; M. cavendishii; M. nana","Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.",Bananas,486,,,Fruit Primary,1738.0,Perennial,6.0
"PLANTAINS
Musa paradisiaca","Generally known as a cooking banana. Data should be reported excluding
the weight of the central stalk",Plantains and others,489,,,Fruit Primary,1738.0,Perennial,
"ORANGES
common, sweet orange (Citrus sinensis);
bitter orange (C. aurantium)",Bitter oranges are used primarily in the preparation of marmalade.,Oranges,490,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
Juice of Orange,"Juice is obtained by mechanical extractors, or by pressing, and is
then submitted to various processes. Unfermented, it may or may not be
frozen. For direct consumption.",,491,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
"Orange Juice, Concentrated","Juice that is obtained by a concentration process in which the water
is physically removed from the juice until it has not less than 20% of
solids by weight. It is then reconstituted with water before
consumption. Unfermented, it may or may not be frozen.",,492,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
"TANGERINES, MANDARINS,
CLEMENTINES, SATSUMAS
mandarin, tangerine (Citrus reticulata);
clementine, satsuma (C. unshiu)",,"Tangerines, mandarins, clementines, satsumas",495,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
Juice of Tangerine,See 0491.,,496,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
"LEMONS AND LIMES
lemon (Citrus limon);
sour lime (C. aurantifolia);
sweet lime (C. limetta)",,Lemons and limes,497,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
Juice of Lemon,See 0491.,,498,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
"Lemon Juice, Concentrated",See 0492.,,499,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
"GRAPEFRUIT AND POMELO
Citrus maxima; C. grandis; C. paradisi",,Grapefruit (inc. pomelos),507,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
Juice of Grapefruit,See 0491.,,509,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
"Grapefruit Juice, Concentrated",See 0492.,,510,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
"CITRUS FRUIT NES
Including inter alia:
bergamot (Citrus bergamia);
citron (C. medica var. cedrata);
chinotto (C. myrtifolia);
kumquat (Fortunella japonica)","Some minor varieties of citrus are used primarily in the preparation
of perfumes and soft drinks.","Fruit, citrus nes",512,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
Juice of Citrus Fruit nes,See 0491.,,513,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
"Citrus Juice, Concentrated nes",See 0492.,,514,"Citrus fruit, total",1804.0,Fruit Primary,1738.0,Perennial,50.0
APPLES,,Apples,515,,,Fruit Primary,1738.0,Perennial,100.0
"Cider, etc.","Fermented beverages nes (e.g. cider, perry, mead), including alcoholic
beverages (that are not distilled) made from cereals, roots and
fruits, that are not included under other headings, e.g. beer from
plantains and ginger.",,517,,,beverage,,Perennial,100.0
"Cider, etc.",See Chapter 15.,,517,,,Fruit Primary,1738.0,Perennial,100.0
Apple Juice,See 0491.,,518,,,Fruit Primary,1738.0,Perennial,100.0
"Apple Juice, Concentrated",See 0492.,,519,,,Fruit Primary,1738.0,Perennial,100.0
"PEARS
Pyrus communis",,Pears,521,,,Fruit Primary,1738.0,Perennial,
"QUINCES
Cydonia oblonga; C. vulgaris; C. japonica",,Quinces,523,,,Fruit Primary,1738.0,,
"APRICOTS
Prunus armeniaca",,Apricots,526,,,Fruit Primary,1738.0,Perennial,
"Apricots, Dried","Prepared either by direct drying in the sun or by industrial
processes. May be marketed as slices or blocks of pulp, either dried
or evaporated.",,527,,,Fruit Primary,1738.0,Perennial,
"SOUR CHERRIES
Prunus cerasus; Cerasus acida",&NBsp,"Cherries, sour",530,,,Fruit Primary,1738.0,,
